scenario,individual_id,introgressed_windows,introgressed_fraction,tract_count,mean_tract_length
one_pulse,0,5067,0.1689,62,80699.70967741935
one_pulse,1,5850,0.195,65,89044.89230769231
one_pulse,2,5432,0.18106666666666665,57,94364.61403508772
one_pulse,3,4766,0.15886666666666666,69,68108.84057971014
one_pulse,4,5566,0.18553333333333333,71,77391.21126760563
one_pulse,5,5859,0.1953,57,101828.77192982456
one_pulse,6,4976,0.16586666666666666,72,68065.26388888889
one_pulse,7,4884,0.1628,72,66826.95833333333
one_pulse,8,6081,0.2027,77,77938.18181818182
one_pulse,9,5027,0.16756666666666667,68,72975.60294117648
one_pulse,10,5732,0.19106666666666666,59,96174.66101694915
one_pulse,11,5497,0.18323333333333333,59,92237.57627118644
one_pulse,12,5242,0.17473333333333332,61,85007.55737704918
one_pulse,13,4971,0.1657,72,68067.84722222222
one_pulse,14,4671,0.1557,64,71991.03125
one_pulse,15,4419,0.1473,57,76546.47368421052
one_pulse,16,4861,0.16203333333333333,64,75067.09375
one_pulse,17,5360,0.17866666666666667,62,85513.67741935483
one_pulse,18,5352,0.1784,75,70328.57333333333
one_pulse,19,5053,0.16843333333333332,59,84680.72881355933
one_pulse,20,5933,0.19776666666666667,69,85001.13043478261
one_pulse,21,5717,0.19056666666666666,62,91301.3870967742
one_pulse,22,5941,0.19803333333333334,68,86382.04411764706
one_pulse,23,5499,0.1833,62,87706.80645161291
one_pulse,24,5378,0.17926666666666666,65,81833.67692307693
one_pulse,25,4964,0.16546666666666668,65,75427.44615384615
one_pulse,26,5524,0.18413333333333334,75,72685.48
one_pulse,27,4880,0.16266666666666665,61,79004.18032786885
one_pulse,28,5515,0.18383333333333332,70,77833.24285714286
one_pulse,29,5596,0.18653333333333333,76,72679.53947368421
one_pulse,30,5009,0.16696666666666668,63,78590.19047619047
one_pulse,31,5027,0.16756666666666667,63,78829.69841269842
one_pulse,32,4990,0.16633333333333333,66,74684.9696969697
one_pulse,33,5241,0.1747,61,84933.81967213115
one_pulse,34,5062,0.16873333333333335,64,78091.640625
one_pulse,35,4706,0.15686666666666665,67,69288.76119402985
one_pulse,36,5881,0.19603333333333334,67,86779.28358208956
one_pulse,37,5314,0.17713333333333334,66,79518.48484848485
one_pulse,38,5229,0.1743,67,77040.88059701493
one_pulse,39,4793,0.15976666666666667,58,81624.13793103448
one_pulse,40,5427,0.1809,75,71307.44
one_pulse,41,5023,0.16743333333333332,58,85597.81034482758
one_pulse,42,4709,0.15696666666666667,62,74980.06451612903
one_pulse,43,5294,0.17646666666666666,64,81772.21875
one_pulse,44,4955,0.16516666666666666,65,75295.64615384616
one_pulse,45,5663,0.18876666666666667,69,81044.17391304347
one_pulse,46,5573,0.18576666666666666,69,79821.0579710145
one_pulse,47,4847,0.16156666666666666,51,94056.03921568628
one_pulse,48,5368,0.17893333333333333,62,85627.66129032258
one_pulse,49,4893,0.1631,67,72131.41791044777
one_pulse,50,5332,0.17773333333333333,67,78648.05970149254
one_pulse,51,5319,0.1773,60,87678.86666666667
one_pulse,52,4883,0.16276666666666667,65,74158.13846153846
one_pulse,53,5195,0.17316666666666666,61,84249.18032786885
one_pulse,54,4880,0.16266666666666665,71,67701.40845070423
one_pulse,55,4726,0.15753333333333333,58,80544.63793103448
one_pulse,56,5166,0.1722,66,77204.42424242424
one_pulse,57,5501,0.18336666666666668,66,82387.66666666667
one_pulse,58,5186,0.17286666666666667,81,63061.67901234568
one_pulse,59,5588,0.18626666666666666,61,90645.26229508196
one_pulse,60,4675,0.15583333333333332,66,69870.98484848485
one_pulse,61,6593,0.21976666666666667,68,96062.89705882352
one_pulse,62,5846,0.19486666666666666,60,96474.8
one_pulse,63,4513,0.15043333333333334,60,74175.48333333334
one_pulse,64,4593,0.1531,59,76916.40677966102
one_pulse,65,5204,0.17346666666666666,67,76731.19402985074
one_pulse,66,4268,0.14226666666666668,59,71354.7627118644
one_pulse,67,4468,0.14893333333333333,63,69985.1746031746
one_pulse,68,5720,0.19066666666666668,71,79588.9014084507
one_pulse,69,5499,0.1833,67,81060.82089552238
one_pulse,70,5514,0.1838,59,92523.8813559322
one_pulse,71,5299,0.17663333333333334,65,80620.01538461538
one_pulse,72,5662,0.18873333333333334,59,95035.94915254238
one_pulse,73,5445,0.1815,65,82832.96923076923
one_pulse,74,5821,0.19403333333333334,62,92930.43548387097
one_pulse,75,5558,0.18526666666666666,74,74200.33783783784
one_pulse,76,5212,0.17373333333333332,68,75659.64705882352
one_pulse,77,5526,0.1842,68,80236.13235294117
one_pulse,78,4276,0.14253333333333335,59,71509.10169491525
one_pulse,79,4738,0.15793333333333334,65,71870.36923076923
one_pulse,80,5260,0.17533333333333334,67,77589.46268656716
one_pulse,81,5469,0.1823,63,85838.03174603175
one_pulse,82,7050,0.235,77,90607.85714285714
one_pulse,83,5381,0.17936666666666667,65,81816.63076923077
one_pulse,84,5321,0.17736666666666667,60,87661.08333333333
one_pulse,85,4723,0.15743333333333334,62,75191.0
one_pulse,86,4936,0.16453333333333334,69,70579.66666666667
one_pulse,87,5594,0.18646666666666667,70,78936.04285714286
one_pulse,88,4658,0.15526666666666666,66,69617.09090909091
one_pulse,89,5571,0.1857,61,90318.3606557377
one_pulse,90,5505,0.1835,62,87851.7741935484
one_pulse,91,4943,0.16476666666666667,59,82760.62711864407
one_pulse,92,5686,0.18953333333333333,66,85130.10606060606
one_pulse,93,5552,0.18506666666666666,72,76117.48611111111
one_pulse,94,4721,0.15736666666666665,56,83325.21428571429
one_pulse,95,4941,0.1647,71,68601.97183098592
one_pulse,96,5683,0.18943333333333334,71,79103.19718309859
one_pulse,97,5383,0.17943333333333333,72,73774.72222222222
one_pulse,98,5495,0.18316666666666667,63,86224.96825396825
one_pulse,99,4988,0.16626666666666667,67,73497.34328358209
two_pulses,0,2003,0.06676666666666667,30,65631.43333333333
two_pulses,1,2414,0.08046666666666667,33,72183.12121212122
two_pulses,2,2137,0.07123333333333333,32,65882.375
two_pulses,3,2563,0.08543333333333333,32,79031.75
two_pulses,4,2627,0.08756666666666667,34,76217.32352941176
two_pulses,5,2301,0.0767,27,84214.5925925926
two_pulses,6,2908,0.09693333333333333,37,77521.21621621621
two_pulses,7,2808,0.0936,31,89523.32258064517
two_pulses,8,2071,0.06903333333333334,29,70301.8275862069
two_pulses,9,2470,0.08233333333333333,32,76071.96875
two_pulses,10,2068,0.06893333333333333,31,65659.41935483871
two_pulses,11,2321,0.07736666666666667,32,71575.28125
two_pulses,12,1697,0.05656666666666667,26,64226.42307692308
two_pulses,13,2411,0.08036666666666667,29,82093.68965517242
two_pulses,14,1725,0.0575,29,58451.75862068965
two_pulses,15,2310,0.077,31,73542.16129032258
two_pulses,16,2273,0.07576666666666666,29,77408.55172413793
two_pulses,17,2000,0.06666666666666667,32,61529.3125
two_pulses,18,1908,0.0636,26,72299.07692307692
two_pulses,19,2090,0.06966666666666667,30,68589.33333333333
two_pulses,20,2619,0.0873,37,69825.54054054055
two_pulses,21,2564,0.08546666666666666,27,93921.03703703704
two_pulses,22,2897,0.09656666666666666,34,84242.05882352941
two_pulses,23,1463,0.048766666666666666,25,57392.48
two_pulses,24,2699,0.08996666666666667,39,68244.02564102564
two_pulses,25,2832,0.0944,25,112274.56
two_pulses,26,2412,0.0804,31,76700.45161290323
two_pulses,27,1992,0.0664,29,67568.37931034483
two_pulses,28,3011,0.10036666666666667,39,76253.82051282052
two_pulses,29,1992,0.0664,24,81827.54166666667
two_pulses,30,2203,0.07343333333333334,33,65711.24242424243
two_pulses,31,2547,0.0849,31,81135.96774193548
two_pulses,32,1658,0.055266666666666665,21,78019.90476190476
two_pulses,33,2716,0.09053333333333333,36,74398.38888888889
two_pulses,34,2120,0.07066666666666667,34,61463.029411764706
two_pulses,35,1533,0.0511,26,57933.346153846156
two_pulses,36,2638,0.08793333333333334,38,68372.15789473684
two_pulses,37,1968,0.0656,29,66822.0
two_pulses,38,3031,0.10103333333333334,27,111179.77777777778
two_pulses,39,2964,0.0988,39,75069.69230769231
two_pulses,40,1873,0.062433333333333334,33,55740.21212121212
two_pulses,41,2302,0.07673333333333333,31,73228.58064516129
two_pulses,42,2848,0.09493333333333333,32,88127.375
two_pulses,43,2777,0.09256666666666667,36,76189.91666666667
two_pulses,44,2290,0.07633333333333334,28,80897.10714285714
two_pulses,45,2668,0.08893333333333334,41,63990.634146341465
two_pulses,46,2693,0.08976666666666666,32,83176.5
two_pulses,47,2319,0.0773,34,67203.55882352941
two_pulses,48,2555,0.08516666666666667,30,84099.93333333333
two_pulses,49,2354,0.07846666666666667,30,77425.56666666667
two_pulses,50,2110,0.07033333333333333,29,71641.24137931035
two_pulses,51,2385,0.0795,38,61790.89473684211
two_pulses,52,2122,0.07073333333333333,34,61380.23529411765
two_pulses,53,2488,0.08293333333333333,38,64554.36842105263
two_pulses,54,2263,0.07543333333333334,37,60097.54054054054
two_pulses,55,1823,0.06076666666666666,27,66503.5925925926
two_pulses,56,2604,0.0868,36,71486.94444444444
two_pulses,57,1971,0.0657,32,60590.5625
two_pulses,58,2138,0.07126666666666667,33,63820.84848484849
two_pulses,59,2094,0.0698,33,62423.06060606061
two_pulses,60,2001,0.0667,29,67984.4827586207
two_pulses,61,2853,0.0951,36,78108.75
two_pulses,62,2345,0.07816666666666666,31,74675.54838709677
two_pulses,63,2191,0.07303333333333334,31,69665.90322580645
two_pulses,64,1555,0.051833333333333335,28,54504.17857142857
two_pulses,65,2851,0.09503333333333333,25,113020.08
two_pulses,66,3322,0.11073333333333334,32,102843.90625
two_pulses,67,1722,0.0574,22,77159.81818181818
two_pulses,68,2363,0.07876666666666667,36,64604.166666666664
two_pulses,69,2429,0.08096666666666667,31,77491.45161290323
two_pulses,70,2243,0.07476666666666666,24,92441.29166666667
two_pulses,71,2404,0.08013333333333333,29,81926.20689655172
two_pulses,72,2738,0.09126666666666666,35,77229.71428571429
two_pulses,73,2681,0.08936666666666666,34,77761.85294117648
two_pulses,74,1846,0.061533333333333336,28,65023.607142857145
two_pulses,75,2656,0.08853333333333334,34,77071.29411764706
two_pulses,76,2592,0.0864,35,73098.54285714286
two_pulses,77,2464,0.08213333333333334,34,71504.88235294117
two_pulses,78,2895,0.0965,31,92408.03225806452
two_pulses,79,2027,0.06756666666666666,32,62325.34375
two_pulses,80,2548,0.08493333333333333,31,81222.67741935483
two_pulses,81,2574,0.0858,31,82041.93548387097
two_pulses,82,2119,0.07063333333333334,32,65216.3125
two_pulses,83,1823,0.06076666666666666,24,74889.41666666667
two_pulses,84,2804,0.09346666666666667,35,79130.88571428572
two_pulses,85,1870,0.06233333333333333,34,54043.970588235294
two_pulses,86,3501,0.1167,31,111839.74193548386
two_pulses,87,2614,0.08713333333333333,35,73640.22857142857
two_pulses,88,2762,0.09206666666666667,30,91045.33333333333
two_pulses,89,2188,0.07293333333333334,32,67398.875
two_pulses,90,2113,0.07043333333333333,30,69364.83333333333
two_pulses,91,2577,0.0859,31,82154.83870967742
two_pulses,92,2781,0.0927,32,85973.59375
two_pulses,93,2069,0.06896666666666666,30,67917.36666666667
two_pulses,94,2609,0.08696666666666666,31,82993.03225806452
two_pulses,95,3629,0.12096666666666667,37,97140.94594594595
two_pulses,96,1782,0.0594,28,62627.03571428572
two_pulses,97,1774,0.059133333333333336,30,58160.46666666667
two_pulses,98,2857,0.09523333333333334,34,82980.35294117648
two_pulses,99,1822,0.060733333333333334,28,63965.857142857145
one_pulse_desert,0,4552,0.15173333333333333,55,81730.10909090909
one_pulse_desert,1,4834,0.16113333333333332,53,90235.18867924529
one_pulse_desert,2,4649,0.15496666666666667,49,93912.04081632652
one_pulse_desert,3,4259,0.14196666666666666,61,68833.67213114754
one_pulse_desert,4,4556,0.15186666666666668,61,73678.65573770492
one_pulse_desert,5,4892,0.16306666666666667,46,105365.28260869565
one_pulse_desert,6,4045,0.13483333333333333,60,66368.0
one_pulse_desert,7,4213,0.14043333333333333,61,68049.67213114754
one_pulse_desert,8,4846,0.16153333333333333,68,70221.7794117647
one_pulse_desert,9,4296,0.1432,54,78582.51851851853
one_pulse_desert,10,4700,0.15666666666666668,47,99031.89361702128
one_pulse_desert,11,4662,0.1554,48,96200.45833333333
one_pulse_desert,12,4502,0.15006666666666665,51,87346.07843137255
one_pulse_desert,13,4182,0.1394,61,67589.44262295082
one_pulse_desert,14,4115,0.13716666666666666,51,79683.76470588235
one_pulse_desert,15,3387,0.1129,45,74281.48888888888
one_pulse_desert,16,3916,0.13053333333333333,51,75922.4705882353
one_pulse_desert,17,4614,0.1538,51,89528.33333333333
one_pulse_desert,18,4831,0.16103333333333333,61,78144.95081967213
one_pulse_desert,19,4412,0.14706666666666668,47,92903.82978723405
one_pulse_desert,20,5213,0.17376666666666668,60,85854.1
one_pulse_desert,21,4849,0.16163333333333332,51,94152.45098039215
one_pulse_desert,22,5073,0.1691,59,85008.37288135593
one_pulse_desert,23,4590,0.153,48,94655.45833333333
one_pulse_desert,24,4603,0.15343333333333334,56,81286.5
one_pulse_desert,25,3999,0.1333,51,77445.11764705883
one_pulse_desert,26,4529,0.15096666666666667,64,69792.390625
one_pulse_desert,27,3792,0.1264,45,83266.8
one_pulse_desert,28,4506,0.1502,60,74116.05
one_pulse_desert,29,4690,0.15633333333333332,63,73493.6507936508
one_pulse_desert,30,4043,0.13476666666666667,52,76804.94230769231
one_pulse_desert,31,3844,0.12813333333333332,54,70225.35185185185
one_pulse_desert,32,4012,0.13373333333333334,57,69461.1052631579
one_pulse_desert,33,4629,0.1543,54,84714.53703703704
one_pulse_desert,34,4034,0.13446666666666668,53,75092.69811320755
one_pulse_desert,35,3862,0.12873333333333334,57,66770.24561403508
one_pulse_desert,36,5030,0.16766666666666666,55,90429.43636363637
one_pulse_desert,37,4460,0.14866666666666667,56,78629.82142857143
one_pulse_desert,38,4478,0.14926666666666666,53,83505.28301886792
one_pulse_desert,39,3785,0.12616666666666668,46,81261.47826086957
one_pulse_desert,40,4564,0.15213333333333334,64,70257.40625
one_pulse_desert,41,4615,0.15383333333333332,52,87736.51923076923
one_pulse_desert,42,3863,0.12876666666666667,52,73311.67307692308
one_pulse_desert,43,4112,0.13706666666666667,52,78127.84615384616
one_pulse_desert,44,4323,0.1441,55,77668.27272727272
one_pulse_desert,45,4636,0.15453333333333333,58,78904.10344827586
one_pulse_desert,46,5104,0.17013333333333333,58,87060.0172413793
one_pulse_desert,47,4179,0.1393,44,94001.59090909091
one_pulse_desert,48,4432,0.14773333333333333,51,85938.80392156863
one_pulse_desert,49,4319,0.14396666666666666,56,76217.85714285714
one_pulse_desert,50,4558,0.15193333333333334,55,81935.83636363636
one_pulse_desert,51,4324,0.14413333333333334,52,82154.03846153847
one_pulse_desert,52,4022,0.13406666666666667,53,74893.94339622642
one_pulse_desert,53,4249,0.14163333333333333,53,79261.2641509434
one_pulse_desert,54,4025,0.13416666666666666,60,66049.81666666667
one_pulse_desert,55,3968,0.13226666666666667,50,78397.48
one_pulse_desert,56,4215,0.1405,56,74214.05357142857
one_pulse_desert,57,4519,0.15063333333333334,56,79756.03571428571
one_pulse_desert,58,4324,0.14413333333333334,66,64535.65151515151
one_pulse_desert,59,4875,0.1625,54,89320.33333333333
one_pulse_desert,60,4058,0.13526666666666667,58,69005.3448275862
one_pulse_desert,61,5778,0.1926,58,98737.89655172414
one_pulse_desert,62,4962,0.1654,48,102395.5625
one_pulse_desert,63,3940,0.13133333333333333,53,73285.56603773584
one_pulse_desert,64,3932,0.13106666666666666,51,76161.17647058824
one_pulse_desert,65,4478,0.14926666666666666,55,80465.43636363637
one_pulse_desert,66,3589,0.11963333333333333,46,77042.95652173914
one_pulse_desert,67,4046,0.13486666666666666,51,78399.45098039215
one_pulse_desert,68,4849,0.16163333333333332,56,85600.08928571429
one_pulse_desert,69,4718,0.15726666666666667,57,81757.9298245614
one_pulse_desert,70,4847,0.16156666666666666,49,98007.0612244898
one_pulse_desert,71,4436,0.14786666666666667,55,79740.32727272727
one_pulse_desert,72,4854,0.1618,49,98108.0612244898
one_pulse_desert,73,5055,0.1685,56,89285.66071428571
one_pulse_desert,74,4817,0.16056666666666666,50,95361.48
one_pulse_desert,75,4904,0.16346666666666668,64,75711.421875
one_pulse_desert,76,4362,0.1454,57,75558.22807017544
one_pulse_desert,77,4444,0.14813333333333334,58,75593.5
one_pulse_desert,78,3717,0.1239,46,79847.23913043478
one_pulse_desert,79,4341,0.1447,56,76480.39285714286
one_pulse_desert,80,4447,0.14823333333333333,54,81424.22222222222
one_pulse_desert,81,4753,0.15843333333333334,57,82397.05263157895
one_pulse_desert,82,5646,0.1882,63,88677.14285714286
one_pulse_desert,83,4519,0.15063333333333334,52,85964.75
one_pulse_desert,84,4730,0.15766666666666668,50,93556.62
one_pulse_desert,85,3725,0.12416666666666666,51,72056.27450980392
one_pulse_desert,86,4360,0.14533333333333334,57,75534.59649122808
one_pulse_desert,87,4770,0.159,59,79872.22033898305
one_pulse_desert,88,3823,0.12743333333333334,55,68502.56363636363
one_pulse_desert,89,4421,0.14736666666666667,50,87416.28
one_pulse_desert,90,4806,0.1602,48,99161.0
one_pulse_desert,91,3952,0.13173333333333334,45,86770.42222222222
one_pulse_desert,92,4904,0.16346666666666668,55,88164.05454545455
one_pulse_desert,93,4601,0.15336666666666668,61,74423.65573770492
one_pulse_desert,94,4176,0.1392,48,85996.95833333333
one_pulse_desert,95,3982,0.13273333333333334,57,68869.1052631579
one_pulse_desert,96,4713,0.1571,58,80337.79310344828
one_pulse_desert,97,4501,0.15003333333333332,59,75286.0
one_pulse_desert,98,4448,0.14826666666666666,52,84527.07692307692
one_pulse_desert,99,4229,0.14096666666666666,60,69508.65
